Id,Name,Description,TypeId,DataTypeId,ComputationTypeId,TaxonomyString,LeafNode,ShowOnWebsite
1,Properties,General properties of the game.,1,1,1,1,0,0
2,Format,Format of the game.,1,1,1,1.1,0,0
3,Time,Time model.,1,1,1,1.1.1,0,0
4,Discrete,Players move at discrete intervals.,1,1,1,1.1.1.1,1,1
5,Realtime,Moves not discrete.,1,1,1,1.1.1.2,1,1
6,Turns,Player turns.,1,1,1,1.1.2,0,0
7,Alternating,Players take turns moving.,1,1,1,1.1.2.1,1,1
8,Simultaneous,Players can move at the same time.,1,1,1,1.1.2.2,1,1
9,Stochastic,Game involves chance elements.,1,1,1,1.1.3,1,1
10,HiddenInformation,Game involves hidden information.,1,1,1,1.1.4,1,1
11,Match,Match game.,1,1,1,1.1.5,1,1
12,Asymmetric,Asymmetry in rules and/or forces.,1,1,1,1.1.6,0,1
13,AsymmetricRules,Players have different rules.,1,1,1,1.1.6.1,0,1
14,AsymmetricPlayRules,Players have different play rules.,1,1,1,1.1.6.1.1,1,1
15,AsymmetricEndRules,Players have different end rules.,1,1,1,1.1.6.1.2,1,1
16,AsymmetricForces,Players have different forces.,1,1,1,1.1.6.2,0,1
17,AsymmetricSetup,Different starting positions for each player.,1,1,1,1.1.6.2.1,1,1
18,AsymmetricPiecesType,Different piece types owned by each player.,1,1,1,1.1.6.2.2,1,1
19,Players,Players of the game.,1,1,1,1.2,0,0
20,NumPlayers,Number of players.,1,2,1,1.2.1,0,1
21,Simulation,No players (environment runs the game).,1,1,1,1.2.1.1,1,1
22,Solitaire,Single player.,1,1,1,1.2.1.2,1,1
23,TwoPlayer,Two players.,1,1,1,1.2.1.3,1,1
24,Multiplayer,More than two players.,1,1,1,1.2.1.4,1,1
25,Cooperation,Players have to cooperate.,1,1,1,1.3,0,1
26,Team,Game involves teams of players.,1,1,1,1.3.1,1,1
27,Coalition,Players may form coalitions.,1,1,1,1.3.2,1,1
28,Puzzle,Type of puzzle.,1,1,1,1.4,0,1
29,DeductionPuzzle,Solution can be deduced.,1,1,1,1.4.1,1,1
30,PlanningPuzzle,Solution is reached in moving pieces.,1,1,1,1.4.2,1,1
31,Equipment,Equipment for playing the game.,2,1,1,2,0,0
32,Container,Containers that hold components.,11,1,1,2.1,0,0
33,Board,Board shared by player for playing the game.,11,1,1,2.1.1,0,0
34,Shape,The shape of the board.,11,1,1,2.1.1.1,0,1
35,SquareShape,Square shape.,11,1,1,2.1.1.1.1,1,1
36,HexShape,Hexagonal shape.,11,1,1,2.1.1.1.2,1,1
37,TriangleShape,Triangle shape.,11,1,1,2.1.1.1.3,1,1
38,DiamondShape,Diamond shape.,11,1,1,2.1.1.1.4,1,1
39,RectangleShape,Rectangle shape.,11,1,1,2.1.1.1.5,1,1
40,SpiralShape,Spirale shape.,11,1,1,2.1.1.1.6,1,1
41,CircleShape,Circle shape.,11,1,1,2.1.1.1.7,1,1
42,PrismShape,Prism shape.,11,1,1,2.1.1.1.8,1,1
43,StarShape,Star shape.,11,1,1,2.1.1.1.9,1,1
44,ParallelogramShape,Parallelogram shape.,11,1,1,2.1.1.1.10,1,1
45,SquarePyramidalShape,Square Pyramidal shape.,11,1,1,2.1.1.1.11,1,1
46,RectanglePyramidalShape,Rectangle Pyramidal shape.,11,1,1,2.1.1.1.12,1,1
47,RegularShape,Regular shape.,11,1,1,2.1.1.1.13,1,1
48,PolygonShape,General polygonal shape.,11,1,1,2.1.1.1.14,1,1
49,TargetShape,Target shape.,11,1,1,2.1.1.1.15,1,1
50,Tiling,The tiling of the board.,11,1,1,2.1.1.2,0,1
51,SquareTiling,Square tiling.,11,1,1,2.1.1.2.1,1,1
52,HexTiling,Hexagonal tiling.,11,1,1,2.1.1.2.2,1,1
53,TriangleTiling,Triangle tiling.,11,1,1,2.1.1.2.3,1,1
54,BrickTiling,Brick tiling.,11,1,1,2.1.1.2.4,1,1
55,SemiRegularTiling,Semi regular tiling.,11,1,1,2.1.1.2.5,1,1
56,CelticTiling,Celtic tiling.,11,1,1,2.1.1.2.6,1,1
57,MorrisTiling,Morris tiling.,11,1,1,2.1.1.2.7,1,1
58,QuadHexTiling,QuadHex tiling.,11,1,1,2.1.1.2.8,1,1
59,CircleTiling,Circle tiling.,11,1,1,2.1.1.2.9,1,1
60,ConcentricTiling,Concentric tiling.,11,1,1,2.1.1.2.10,1,1
61,SpiralTiling,Spiral tiling.,11,1,1,2.1.1.2.11,1,1
62,AlquerqueTiling,Alquerque tiling.,11,1,1,2.1.1.2.12,1,1
63,MancalaBoard,Mancala board.,11,1,1,2.1.1.3,0,1
64,MancalaStores,Mancala board with stores.,11,1,1,2.1.1.3.1,1,1
65,MancalaTwoRows,Mancala board with 2 rows.,11,1,1,2.1.1.3.2,1,1
66,MancalaThreeRows,Mancala board with 3 rows.,11,1,1,2.1.1.3.3,1,1
67,MancalaFourRows,Mancala board with 4 rows.,11,1,1,2.1.1.3.4,1,1
68,MancalaSixRows,Mancala board with 6 rows.,11,1,1,2.1.1.3.5,1,1
69,MancalaCircular,Mancala board with circular tiling.,11,1,1,2.1.1.3.6,1,1
70,Track,The board has a track.,11,1,1,2.1.1.12,0,1
71,TrackLoop,A track is a loop.,11,1,1,2.1.1.12.1,1,1
72,TrackOwned,A track is owned.,11,1,1,2.1.1.12.2,1,1
73,Hints,The board has some hints.,11,1,1,2.1.1.13,1,1
74,Region,The board has regions.,11,1,1,2.1.1.14,1,1
75,Boardless,Game is played on an implied grid.,11,1,1,2.1.1.15,1,1
76,PlayableSites,Playable sites.,11,1,1,2.1.1.16,0,1
77,Vertex,Use Vertices.,11,1,1,2.1.1.16.1,1,1
78,Cell,Use cells.,11,1,1,2.1.1.16.2,1,1
79,Edge,Use edges.,11,1,1,2.1.1.16.3,1,1
80,NumPlayableSitesOnBoard,Number of playables sites on the board.,11,2,1,2.1.1.16.4,1,1
81,NumColumns,Number of columns of the board.,11,2,1,2.1.1.17,1,1
82,NumRows,Number of rows of the board.,11,2,1,2.1.1.18,1,1
83,NumCorners,Number of corners of the board.,11,2,1,2.1.1.19,1,1
84,NumDirections,Average number of directions of each playable site on the board.,11,4,1,2.1.1.20,1,1
85,NumOrthogonalDirections,Average number of orthogonal directions of each playable site on the board.,11,4,1,2.1.1.21,1,1
86,NumDiagonalDirections,Average number of diagonal directions of each playable site on the board.,11,4,1,2.1.1.22,1,1
87,NumAdjacentDirections,Average number of adjacent directions of each playable site on the board.,11,4,1,2.1.1.23,1,1
88,NumOffDiagonalDirections,Average number of off diagonal directions of each playable site on the board.,11,4,1,2.1.1.24,1,1
89,NumOuterSites,Number of outer sites of the board.,11,2,1,2.1.1.25,1,1
90,NumInnerSites,Number of inner sites of the board.,11,2,1,2.1.1.26,1,1
91,NumLayers,Number of layers of the board.,11,2,1,2.1.1.27,1,1
92,NumEdges,Number of edges of the board.,11,2,1,2.1.1.28,1,1
93,NumCells,Number of cells of the board.,11,2,1,2.1.1.29,1,1
94,NumVertices,Number of vertices of the board.,11,2,1,2.1.1.30,1,1
95,NumPerimeterSites,Number of perimeter sites of the board.,11,2,1,2.1.1.31,1,1
96,NumTopSites,Number of top sites of the board.,11,2,1,2.1.1.32,1,1
97,NumBottomSites,Number of bottom sites of the board.,11,2,1,2.1.1.33,1,1
98,NumRightSites,Number of right sites of the board.,11,2,1,2.1.1.34,1,1
99,NumLeftSites,Number of left sites of the board.,11,2,1,2.1.1.35,1,1
100,NumCentreSites,Number of centre sites of the board.,11,2,1,2.1.1.36,1,1
101,NumConvexCorners,Number of convex corners of the board.,11,2,1,2.1.1.37,1,1
102,NumConcaveCorners,Number of concave corners of the board.,11,2,1,2.1.1.38,1,1
103,NumPhasesBoard,Number of phases of the board.,11,2,1,2.1.1.39,1,1
104,Hand,Player hands for storing own pieces.,11,1,1,2.1.2,1,1
105,NumContainers,Number of containers.,11,2,1,2.1.3,1,1
106,NumPlayableSites,Number of playables sites in total.,11,2,1,2.1.4,1,1
107,Component,Components manipulated by the players.,12,1,1,2.2,0,0
108,Piece,Game is played with pieces.,12,1,1,2.2.1,1,1
109,PieceValue,Pieces have value.,12,1,1,2.2.2,1,1
110,PieceRotation,Pieces have rotations.,12,1,1,2.2.3,1,1
111,PieceDirection,Pieces have forward direction.,12,1,1,2.2.4,1,1
112,Dice,Game is played with dice.,12,1,1,2.2.5,0,1
113,BiasedDice,Game is played with biased dice.,12,1,1,2.2.5.5,1,1
114,Card,Game is played with cards.,12,1,1,2.2.6,1,1
115,Domino,Game is played with dominoes.,12,1,1,2.2.7,1,1
116,LargePiece,Game is played with large pieces.,12,1,1,2.2.8,1,1
117,Tile,Game is played with tiles.,12,1,1,2.2.9,1,1
118,NumComponentsType,Number of component types.,12,2,1,2.2.10,1,1
119,NumComponentsTypePerPlayer,Average number of component types per player.,12,4,1,2.2.11,1,1
120,NumDice,Number of dice.,12,2,1,2.2.12,1,1
121,Rules,Rules of the game.,5,1,1,3,0,0
122,Meta,Global metarules that override all other rules.,3,1,1,3.1,0,1
123,OpeningContract,Game involves an opening round equaliser.,3,1,1,3.1.1,0,1
124,SwapOption,Second player may swap colours.,3,1,1,3.1.1.1,1,1
125,Repetition,Game has repetition checks.,3,1,1,3.1.2,0,1
126,TurnKo,No repeated piece positions within a single turn.,3,1,1,3.1.2.1,1,1
127,SituationalTurnKo,No repeated states withing a single turn.,3,1,1,3.1.2.2,1,1
128,PositionalSuperko,No repeated piece positions.,3,1,1,3.1.2.3,1,1
129,SituationalSuperko,No repeated states.,3,1,1,3.1.2.4,1,1
130,AutoMove,Apply all legal moves related to one single site.,3,1,1,3.1.3,1,1
131,Start,Start rules.,4,1,1,3.2,0,1
132,PiecesPlacedOnBoard,Places initially some pieces on the board.,4,1,1,3.2.1,1,1
133,PiecesPlacedOutsideBoard,Places initially some pieces (different of shared dice) outside of the board.,4,1,1,3.2.2,1,1
134,InitialRandomPlacement,Places initially randomly some pieces.,4,1,1,3.2.3,1,1
135,InitialScore,Sets initial score.,4,1,1,3.2.4,1,1
136,InitialAmount,Sets initial amount.,4,1,1,3.2.5,1,1
137,InitialPot,Sets initial pot.,4,1,1,3.2.6,1,1
138,InitialCost,Sets initially some costs on graph elements.,4,1,1,3.2.7,1,1
139,NumStartComponentsBoard,Number of components on board at start.,4,4,2,3.2.8,1,1
140,NumStartComponentsHand,Number of components in player hands at start.,4,4,2,3.2.9,1,1
141,NumStartComponents,Number of components at start.,4,4,2,3.2.10,1,1
142,Play,Rules of general play.,5,1,1,3.3,0,0
143,Moves,Moves.,5,1,1,3.3.1,0,1
144,MovesDecision,Moves.,5,1,1,3.3.1.1,0,1
145,NoSiteMoves,Moves.,5,1,1,3.3.1.1.1,0,1
146,BetDecision,Decide to bet.,5,1,1,3.3.1.1.1.1,0,1
147,BetDecisionFrequency,Frequency of Bet Decision move.,5,4,2,3.3.1.1.1.1.1,1,1
148,VoteDecision,Decide to vote.,5,1,1,3.3.1.1.1.2,0,1
149,VoteDecisionFrequency,Frequency of Vote Decision move.,5,4,2,3.3.1.1.1.2.1,1,1
150,SwapPlayersDecision,Decide to swap players.,5,1,1,3.3.1.1.1.3,0,1
151,SwapPlayersDecisionFrequency,Frequency of Swap Players Decision move.,5,4,2,3.3.1.1.1.3.1,1,1
152,ChooseTrumpSuitDecision,Choose the trump suit.,5,1,1,3.3.1.1.1.4,0,1
153,ChooseTrumpSuitDecisionFrequency,Frequency of Choose Trump Suit Decision move.,5,4,2,3.3.1.1.1.4.1,1,1
154,PassDecision,Decide to pass a turn.,5,1,1,3.3.1.1.1.5,0,1
155,PassDecisionFrequency,Frequency of Pass Decision move.,5,4,2,3.3.1.1.1.5.1,1,1
156,ProposeDecision,Decide to propose.,5,1,1,3.3.1.1.1.6,0,1
157,ProposeDecisionFrequency,Frequency of Propose Decision move.,5,4,2,3.3.1.1.1.6.1,1,1
158,SingleSiteMoves,Moves.,5,1,1,3.3.1.1.2,0,1
159,AddDecision,Decide to add pieces.,5,1,1,3.3.1.1.2.1,0,1
160,AddDecisionFrequency,Frequency of Add Decision move.,5,4,2,3.3.1.1.2.1.1,1,1
161,PromotionDecision,Promote move.,5,1,1,3.3.1.1.2.2,0,1
162,PromotionDecisionFrequency,Frequency of Promotion Decision move.,5,4,2,3.3.1.1.2.2.1,1,1
163,RemoveDecision,Decide to remove pieces.,5,1,1,3.3.1.1.2.3,0,1
164,RemoveDecisionFrequency,Frequency of Remove Decision move.,5,4,2,3.3.1.1.2.3.1,1,1
165,RotationDecision,Rotation move.,5,1,1,3.3.1.1.2.4,0,1
166,RotationDecisionFrequency,Frequency of Rotation Decision move.,5,4,2,3.3.1.1.2.4.1,1,1
167,TwoSitesMoves,Moves.,5,1,1,3.3.1.1.3,0,1
168,StepDecision,Decide to step.,5,1,1,3.3.1.1.3.1,0,1
169,StepDecisionFrequency,Frequency of Step Decision move.,5,4,2,3.3.1.1.3.1.1,1,1
170,StepDecisionToEmpty,Decide to step to an empty site.,5,1,1,3.3.1.1.3.1.2,0,1
171,StepDecisionToEmptyFrequency,Frequency of Step Decision To Empty move.,5,4,2,3.3.1.1.3.1.2.1,1,1
172,StepDecisionToFriend,Decide to step to a friend piece.,5,1,1,3.3.1.1.3.1.3,0,1
173,StepDecisionToFriendFrequency,Frequency of Step Decision To Friend move.,5,4,2,3.3.1.1.3.1.3.1,1,1
174,StepDecisionToEnemy,Decide to step to an enemy piece.,5,1,1,3.3.1.1.3.1.4,0,1
175,StepDecisionToEnemyFrequency,Frequency of Step Decision To Enemy move.,5,4,2,3.3.1.1.3.1.4.1,1,1
176,SlideDecision,Decide to slide.,5,1,1,3.3.1.1.3.2,0,1
177,SlideDecisionFrequency,Frequency of Slide Decision move.,5,4,2,3.3.1.1.3.2.1,1,1
178,SlideDecisionToEmpty,Slide move.,5,1,1,3.3.1.1.3.2.2,0,1
179,SlideDecisionToEmptyFrequency,Frequency of Slide Decision To Empty move.,5,4,2,3.3.1.1.3.2.2.1,1,1
180,SlideDecisionToEnemy,Slide move.,5,1,1,3.3.1.1.3.2.3,0,1
181,SlideDecisionToEnemyFrequency,Frequency of Slide Decision To Enemy move.,5,4,2,3.3.1.1.3.2.3.1,1,1
182,SlideDecisionToFriend,Slide move.,5,1,1,3.3.1.1.3.2.4,0,1
183,SlideDecisionToFriendFrequency,Frequency of Slide Decision To Friend move.,5,4,2,3.3.1.1.3.2.4.1,1,1
184,LeapDecision,Decide to leap.,5,1,1,3.3.1.1.3.3,0,1
185,LeapDecisionFrequency,Frequency of Leap Decision Decision move.,5,4,2,3.3.1.1.3.3.1,1,1
186,LeapDecisionToEmpty,Decide to leap to an empty site.,5,1,1,3.3.1.1.3.3.2,0,1
187,LeapDecisionToEmptyFrequency,Frequency of Leap Decision To Empty move.,5,4,2,3.3.1.1.3.3.2.1,1,1
188,LeapDecisionToFriend,Decide to leap to a friend piece.,5,1,1,3.3.1.1.3.3.3,0,1
189,LeapDecisionToFriendFrequency,Frequency of Leap Decision To Friend move.,5,4,2,3.3.1.1.3.3.3.1,1,1
190,LeapDecisionToEnemy,Decide to leap to an enemy piece.,5,1,1,3.3.1.1.3.3.4,0,1
191,LeapDecisionToEnemyFrequency,Frequency of Leap Decision To Enemy move.,5,4,2,3.3.1.1.3.3.4.1,1,1
192,HopDecision,Decide to hop.,5,1,1,3.3.1.1.3.4,0,1
193,HopDecisionFrequency,Frequency of Hop Decision move.,5,4,2,3.3.1.1.3.4.1,1,1
194,HopDecisionMoreThanOne,Hop more than one site.,5,1,1,3.3.1.1.3.4.2,0,1
195,HopDecisionMoreThanOneFrequency,Frequency of Hop Decision More Than One move.,5,4,2,3.3.1.1.3.4.2.1,1,1
196,HopDecisionEnemyToEmpty,Hop an enemy to an empty site.,5,1,1,3.3.1.1.3.4.3,0,1
197,HopDecisionEnemyToEmptyFrequency,Frequency of Hop Decision Enemy To Empty move.,5,4,2,3.3.1.1.3.4.3.1,1,1
198,HopDecisionFriendToEmpty,Hop a friend to an empty site.,5,1,1,3.3.1.1.3.4.4,0,1
199,HopDecisionFriendToEmptyFrequency,Frequency of Hop DecisionFriend To Empty move.,5,4,2,3.3.1.1.3.4.4.1,1,1
200,HopDecisionEnemyToFriend,Hop an enemy to a friend piece.,5,1,1,3.3.1.1.3.4.5,0,1
201,HopDecisionEnemyToFriendFrequency,Frequency of Hop Decision Enemy To Friend move.,5,4,2,3.3.1.1.3.4.5.1,1,1
202,HopDecisionFriendToFriend,Hop a friend to a friend piece.,5,1,1,3.3.1.1.3.4.6,0,1
203,HopDecisionFriendToFriendFrequency,Frequency of Hop Decision Friend To Friend move.,5,4,2,3.3.1.1.3.4.6.1,1,1
204,HopDecisionEnemyToEnemy,Hop an enemy to a enemy piece.,5,1,1,3.3.1.1.3.4.7,0,1
205,HopDecisionEnemyToEnemyFrequency,Frequency of Hop Decision Enemy To Enemy move.,5,4,2,3.3.1.1.3.4.7.1,1,1
206,HopDecisionFriendToEnemy,Hop a friend to an enemy piece.,5,1,1,3.3.1.1.3.4.8,0,1
207,HopDecisionFriendToEnemyFrequency,Frequency of Hop Decision Friend To Enemy move.,5,4,2,3.3.1.1.3.4.8.1,1,1
208,FromToDecision,Decide to move a piece from a site to another.,5,1,1,3.3.1.1.3.5,0,1
209,FromToDecisionFrequency,Frequency of FromTo Decision move.,5,4,2,3.3.1.1.3.5.1,1,1
210,FromToDecisionWithinBoard,Move a piece from a site to another withing the board.,5,1,1,3.3.1.1.3.5.2,0,1
211,FromToDecisionWithinBoardFrequency,Frequency of FromTo Decision Within Board move.,5,4,2,3.3.1.1.3.5.2.1,1,1
212,FromToDecisionBetweenContainers,Move a piece from a site to another between 2 different containers.,5,1,1,3.3.1.1.3.5.3,0,1
213,FromToDecisionBetweenContainersFrequency,Frequency of FromTo Decision Between Containers move.,5,4,2,3.3.1.1.3.5.3.1,1,1
214,FromToDecisionEmpty,Move a piece to an empty site.,5,1,1,3.3.1.1.3.5.4,0,1
215,FromToDecisionEmptyFrequency,Frequency of FromTo Decision Empty move.,5,4,2,3.3.1.1.3.5.4.1,1,1
216,FromToDecisionEnemy,Move a piece to an enemy site.,5,1,1,3.3.1.1.3.5.5,0,1
217,FromToDecisionEnemyFrequency,Frequency of FromTo Decision Enemy move.,5,4,2,3.3.1.1.3.5.5.1,1,1
218,FromToDecisionFriend,Move a piece to a friend site.,5,1,1,3.3.1.1.3.5.6,0,1
219,FromToDecisionFriendFrequency,Frequency of FromTo Decision Friend move.,5,4,2,3.3.1.1.3.5.6.1,1,1
220,SwapPiecesDecision,Decide to swap pieces.,5,1,1,3.3.1.1.3.6,0,1
221,SwapPiecesDecisionFrequency,Frequency of Swap Pieces Decision move.,5,4,2,3.3.1.1.3.6.1,1,1
222,ShootDecision,Decide to shoot.,5,1,1,3.3.1.1.3.7,0,1
223,ShootDecisionFrequency,Frequency of Shoot Decision move.,5,4,2,3.3.1.1.3.7.1,1,1
224,MovesNonDecision,Moves.,5,1,1,3.3.1.2,0,1
225,MovesEffects,Moves.,5,1,1,3.3.1.2.1,0,1
226,BetEffect,Bet effect.,5,1,1,3.3.1.2.1.1,0,1
227,BetEffectFrequency,Frequency of Bet Effect.,5,1,2,3.3.1.2.1.1.1,1,1
228,VoteEffect,Vote effect.,5,1,1,3.3.1.2.1.2,0,1
229,VoteEffectFrequency,Frequency of Vote Effect.,5,1,2,3.3.1.2.1.2.1,1,1
230,SwapPlayersEffect,Swap players effect.,5,1,1,3.3.1.2.1.3,0,1
231,SwapPlayersEffectFrequency,Frequency of Swap Players Effect.,5,1,2,3.3.1.2.1.3.1,1,1
232,TakeControl,Take control of enemy pieces.,5,1,1,3.3.1.2.1.4,0,1
233,TakeControlFrequency,Frequency of Take Control.,5,4,2,3.3.1.2.1.4.1,1,1
234,PassEffect,Pass a turn.,5,1,1,3.3.1.2.1.5,0,1
235,PassEffectFrequency,Frequency of Pass Effect.,5,1,2,3.3.1.2.1.5.1,1,1
236,Roll,Roll at least a die.,5,1,1,3.3.1.2.1.6,0,1
237,RollFrequency,Frequency of Roll.,5,4,2,3.3.1.2.1.6.1,1,1
238,ProposeEffect,Propose a vote effect.,5,1,1,3.3.1.2.1.7,0,1
239,ProposeEffectFrequency,Frequency of Propose Effect.,5,4,2,3.3.1.2.1.7.1,1,1
240,AddEffect,Add effect.,5,1,1,3.3.1.2.1.8,0,1
241,AddEffectFrequency,Frequency of Add Effect.,5,4,2,3.3.1.2.1.8.1,1,1
242,Sow,Sowing stones.,5,1,1,3.3.1.2.1.9,0,1
243,SowFrequency,Frequency of Sow.,5,4,2,3.3.1.2.1.9.1,1,1
244,SowWithEffect,Sowing moves with effect on final hole.,5,1,1,3.3.1.2.1.9.2,0,1
245,SowCapture,Sowing with capture.,5,1,1,3.3.1.2.1.9.2.1,0,1
246,SowCaptureFrequency,Frequency of Sow Capture move.,5,4,2,3.3.1.2.1.9.2.1.1,1,1
247,SowRemove,Sowing with seeds removed.,5,1,1,3.3.1.2.1.9.2.2,0,1
248,SowRemoveFrequency,Frequency of Sow Remove move.,5,4,2,3.3.1.2.1.9.2.2.1,1,1
249,SowBacktracking,Sowing uses backtracking captures.,5,1,1,3.3.1.2.1.9.2.3,0,1
250,SowBacktrackingFrequency,Frequency of Sow Backtracking move.,5,4,2,3.3.1.2.1.9.2.3.1,1,1
251,SowProperties,Sowing properties.,5,1,1,3.3.1.2.1.9.3,0,1
252,SowSkip,Sowing in skiping some holes.,5,1,1,3.3.1.2.1.9.3.1,1,1
253,SowOriginFirst,Sowing in the origin hole first.,5,1,1,3.3.1.2.1.9.3.2,1,1
254,SowCW,Sowing is performed CW.,5,1,1,3.3.1.2.1.9.3.3,1,1
255,SowCCW,Sowing is performed CCW.,5,1,1,3.3.1.2.1.9.3.4,1,1
256,PromotionEffect,Promote effect.,5,1,1,3.3.1.2.1.10,0,1
257,PromotionEffectFrequency,Frequency of Promote Effect.,5,4,2,3.3.1.2.1.10.1,1,1
258,RemoveEffect,Remove effect.,5,1,1,3.3.1.2.1.11,0,1
259,RemoveEffectFrequency,Frequency of Remove Effect.,5,4,2,3.3.1.2.1.11.1,1,1
260,PushEffect,Push move.,5,1,1,3.3.1.2.1.12,0,1
261,PushEffectFrequency,Frequency of Push Effect.,5,4,2,3.3.1.2.1.12.1,1,1
262,Flip,Flip move.,5,1,1,3.3.1.2.1.13,0,1
263,FlipFrequency,Frequency of Flip Effect.,5,4,2,3.3.1.2.1.13.1,1,1
264,SetMove,Set Moves.,5,1,1,3.3.1.2.1.14,0,1
265,SetNextPlayer,Decide who is the next player.,5,1,1,3.3.1.2.1.14.1,0,1
266,SetNextPlayerFrequency,Frequency of Set Next Player move.,5,4,2,3.3.1.2.1.14.1.1,1,1
267,MoveAgain,Set the next player to the mover.,5,1,1,3.3.1.2.1.14.2,0,1
268,MoveAgainFrequency,Frequency of Move Again move.,5,4,2,3.3.1.2.1.14.2.1,1,1
269,SetValue,Set the value of a piece.,5,1,1,3.3.1.2.1.14.3,0,1
270,SetValueFrequency,Frequency of Set Value move.,5,4,2,3.3.1.2.1.14.3.1,1,1
